USERS,Star Wars,Spotlight,Rocky,Mad Max: Fury Road,Kung Fu Panda 3,Despicable Me,Big Hero 6,The hungover,Inside out,The big short,Almost famous,The hunger games,Pulp Fiction,Inglourious Basterds,The usual suspects,Mamma mia,Frozen,Legally blonde,Silver Linings,Twilight,Bridget Jones Diary,Gone girl,The matrix,Alien,2001: A space Odyssey,The godfather,Pretty woman,Room,Spy,The Intern,Zootopia,MI,The martian,The Danish Girl,X-men,Captain America,Focus,Null
792,-0.133333333,-0.133333333,-0.133333333,-0.133333333,0.866666667,0.866666667,-0.133333333,-0.133333333,-1.133333333,,,,0.866666667,0.866666667,,,0.866666667,0.866666667,-0.133333333,-2.133333333,0.866666667,0.866666667,-0.133333333,,,0.866666667,0.866666667,-2.133333333,0.866666667,-0.133333333,0.866666667,-1.133333333,0.866666667,-1.133333333,-0.133333333,-1.133333333,-1.133333333,
474,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,,,,,0.903225806,0.903225806,,0.903225806,-3.096774194,-3.096774194,-3.096774194,-3.096774194,0.903225806,0.903225806,0.903225806,0.903225806,0.903225806,-3.096774194,,-0.096774194,-0.096774194,-0.096774194,0.903225806,-0.096774194,-0.096774194,-0.096774194,-0.096774194,-0.096774194,
831,1,-1,1,1,1,1,1,1,1,,-1,1,-1,0,0,-2,1,-1,-2,-3,-3,1,1,1,-1,1,-2,0,1,1,1,-1,1,-1,0,1,0,
204,0.40625,0.40625,0.40625,-0.59375,0.40625,-0.59375,-0.59375,0.40625,0.40625,-0.59375,0.40625,0.40625,-0.59375,-1.59375,0.40625,-0.59375,0.40625,,,0.40625,,1.40625,1.40625,0.40625,1.40625,1.40625,1.40625,,,-0.59375,0.40625,-1.59375,1.40625,-2.59375,-1.59375,-1.59375,-0.59375,
62,0.357142857,,0.357142857,0.357142857,0.357142857,0.357142857,,0.357142857,,,,-0.642857143,0.357142857,0.357142857,,,,,0.357142857,-3.642857143,,0.357142857,0.357142857,,,0.357142857,,,,,,,,,,,,
479,-0.222222222,,,,,0.777777778,,0.777777778,,,,0.777777778,,,,,-0.222222222,-0.222222222,,-0.222222222,,,0.777777778,,,,,-2.222222222,-1.222222222,-3.222222222,-0.222222222,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778,
224,-0.315789474,,0.684210526,-1.315789474,0.684210526,0.684210526,,-0.315789474,-0.315789474,,,,0.684210526,-1.315789474,-0.315789474,-0.315789474,-0.315789474,,,-1.315789474,0.684210526,-0.315789474,0.684210526,0.684210526,0.684210526,0.684210526,,,,,,,,,,,,
75,-0.470588235,,0.529411765,,0.529411765,,,-0.470588235,,,,0.529411765,,,,0.529411765,,,,0.529411765,,0.529411765,,0.529411765,,0.529411765,,-2.470588235,0.529411765,0.529411765,-0.470588235,-2.470588235,0.529411765,,,,0.529411765,
686,0,,0,1,0,0,,,,,,-1,,0,,,,,,,,0,0,,0,0,,,,,,,,,,,,
519,,,-0.583333333,0.416666667,,-0.583333333,-0.583333333,,,,,0.416666667,,0.416666667,,,-0.583333333,-0.583333333,,,,,1.416666667,0.416666667,-0.583333333,0.416666667,,,,,,,,,,,,
